year,averagespeed,totaldistance,numberstages,numberfinishers,numberentrants,winnername,winnernationality,winnerteam,startdate,enddate,startingcity,startinglatitude,startinglongitude,startingcountry,finishingcity,finishinglatitude,finishinglongitude,percentagefinished
1903,25.68,2428,6,21,60,Maurice Garin, France,La Française,7/1/1903,7/21/1903,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,35
1904,25.27,2420,6,27,88,Henri Cornet, France,Cycles JC,7/2/1904,7/24/1904,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,30.68181818
1905,27.11,2994,11,24,60,Louis Trousselier, France,Cycles Peugeot,7/9/1905,7/30/1905,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,40
1906,24.46,4545,13,14,82,René Pottier, France,Cycles Peugeot,7/4/1906,7/29/1906,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,17.07317073
1907,28.47,4488,14,33,93,Lucien Petit-Breton, France,Cycles Peugeot,7/8/1907,8/4/1907,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,35.48387097
1908,28.74,4488,14,36,112,Lucien Petit-Breton , France,Cycles Peugeot,7/13/1908,8/9/1908,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,32.14285714
1909,28.66,4497,14,55,150,François Faber, Luxembourg,Alycon,7/5/1909,8/1/1909,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,36.66666667
1910,29.1,4737,15,41,110,Octave Lapize, France,Alycon,7/3/1910,7/31/1910,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,37.27272727
1911,27.32,5344,15,28,84,Gustave Garrigou, France,Alycon,7/2/1911,7/30/1911,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,33.33333333
1912,27.76,5289,15,41,131,Odile Defraye, Belgium,Alycon,6/30/1912,7/28/1912,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,31.29770992
1913,26.72,5287,15,25,140,Philippe Thys, Belgium,Cycles Peugeot,6/29/1913,7/27/1913,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,17.85714286
1914,26.84,5380,15,54,145,Philippe Thys , Belgium,Cycles Peugeot,6/28/1914,7/26/1914,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,37.24137931
1919,24.06,5560,15,10,69,Firmin Lambot, Belgium,La Sportive,6/29/1919,7/27/1919,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,14.49275362
1920,24.07,5503,15,22,113,Philippe Thys , Belgium,La Sportive,6/27/1920,7/27/1920,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,19.46902655
1921,24.72,5485,15,38,123,Léon Scieur, Belgium,La Sportive,6/26/1921,7/24/1921,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,30.89430894
1922,24.2,5375,15,38,121,Firmin Lambot , Belgium,Cycles Peugeot,6/25/1922,7/23/1922,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,31.40495868
1923,24.23,5386,15,48,139,Henri Pélissier, France,Automoto,6/24/1923,7/22/1923,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,34.5323741
1924,24.25,5425,15,60,157,Ottavio Bottecchia, Italy,Automoto,6/22/1924,7/20/1924,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,38.21656051
1925,24.82,5440,18,49,130,Ottavio Bottecchia , Italy,Automoto,6/21/1925,7/19/1925,Paris,48.8566,2.3522,France,Paris,48.8566,2.3522,37.69230769
